Forecast timestamp,Position,Forecast base,2 metre temperature,Minimum temperature at 2 metres in the last 6 hours,Maximum temperature at 2 metres in the last 6 hours,Relative humidity,Total water precipitation,Wind speed,Downward short-wave radiation flux,Surface latent heat flux,Surface sensible heat flux,Surface net solar radiation,Surface net thermal radiation
2020-02-18T23:00:00+01:00,50.775,3.125,2020-02-18T04:00:00+01:00,7.015344238281273,,,84.04354858398438,3.18896484375,19.582614041864872,5315386.375,-4761568.0,1459849.0,4511459.125,-2367310.0
2020-02-18T23:00:00+01:00,50.725,3.0,2020-02-18T04:00:00+01:00,6.796594238281273,,,82.13729858398438,3.34619140625,19.332614041864872,4890426.375,-5311456.0,2193033.0,4100579.125,-2025550.0
2020-02-18T23:00:00+01:00,50.725,3.05,2020-02-18T04:00:00+01:00,6.855187988281273,,,82.10604858398438,3.005859375,19.879489041864872,5549370.375,-5530592.0,2041481.0,4654307.125,-2251598.0
2020-02-18T23:00:00+01:00,50.775,3.0,2020-02-18T04:00:00+01:00,6.900109863281273,,,84.51229858398438,4.1982421875,17.848239041864872,4650298.375,-4875232.0,1585289.0,3990243.125,-2093646.0
2020-02-18T23:00:00+01:00,50.75,3.2,2020-02-18T04:00:00+01:00,7.272180175781273,,,81.19979858398438,2.568359375,19.879489041864872,4521786.375,-4264416.0,1108617.0,3913187.125,-2061902.0
2020-02-18T23:00:00+01:00,50.75,3.05,2020-02-18T04:00:00+01:00,6.809289550781273,,,83.98104858398438,3.54052734375,19.254489041864872,5129530.375,-5264864.0,2017929.0,4300259.125,-2063950.0
2020-02-18T23:00:00+01:00,50.75,3.25,2020-02-18T04:00:00+01:00,7.491906738281273,,,80.13729858398438,2.40185546875,19.379489041864872,4860730.375,-4283360.0,676489.0,4163043.125,-2127950.0
2020-02-18T23:00:00+01:00,50.75,3.275,2020-02-18T04:00:00+01:00,7.397180175781273,,,81.82479858398438,2.35107421875,19.035739041864872,5366586.375,-5680096.0,2325641.0,4495843.125,-2242382.0
2020-02-18T23:00:00+01:00,50.75,3.175,2020-02-18T04:00:00+01:00,7.178430175781273,,,81.82479858398438,2.6611328125,20.129489041864872,4736826.375,-4315104.0,1064073.0,4096227.125,-2157134.0
2020-02-18T23:00:00+01:00,50.75,3.225,2020-02-18T04:00:00+01:00,7.413781738281273,,,80.57479858398438,2.47802734375,19.520114041864872,4555578.375,-4169696.0,924297.0,3951075.125,-2087502.0
2020-02-18T23:00:00+01:00,50.75,2.975,2020-02-18T04:00:00+01:00,6.797570800781273,,,83.63729858398438,4.33349609375,18.301364041864872,4582714.375,-5158880.0,2213513.0,3848419.125,-1900878.0
2020-02-18T23:00:00+01:00,50.75,3.15,2020-02-18T04:00:00+01:00,7.061242675781273,,,82.76229858398438,2.75927734375,20.270114041864872,5035322.375,-4849120.0,1641097.0,4273891.125,-2206798.0
2020-02-18T23:00:00+01:00,50.725,3.25,2020-02-18T04:00:00+01:00,7.257531738281273,,,83.54354858398438,2.57861328125,19.098239041864872,4872506.375,-6155744.0,2706057.0,4115427.125,-2073166.0
2020-02-18T23:00:00+01:00,50.725,3.325,2020-02-18T04:00:00+01:00,6.975305175781273,,,86.01229858398438,2.3076171875,17.004489041864872,5103930.375,-5209568.0,1988233.0,4284387.125,-2146638.0
2020-02-18T23:00:00+01:00,50.725,3.15,2020-02-18T04:00:00+01:00,7.205773925781273,,,80.88729858398438,2.60498046875,19.832614041864872,4942650.375,-3028448.0,-881015.0,4353763.125,-2317646.0
2020-02-18T23:00:00+01:00,50.725,3.2,2020-02-18T04:00:00+01:00,7.403039550781273,,,81.04354858398438,2.61181640625,19.645114041864872,4881210.375,-5099488.0,1709705.0,4191459.125,-2176590.0
2020-02-18T23:00:00+01:00,50.725,3.275,2020-02-18T04:00:00+01:00,7.237023925781273,,,83.85604858398438,2.49951171875,18.535739041864872,5208890.375,-5485024.0,2205321.0,4364259.125,-2174030.0
2020-02-18T23:00:00+01:00,50.725,3.1,2020-02-18T04:00:00+01:00,6.808312988281273,,,83.26229858398438,2.77490234375,20.660739041864872,5148474.375,-5232608.0,2052233.0,4280803.125,-2158926.0
2020-02-18T23:00:00+01:00,50.725,3.175,2020-02-18T04:00:00+01:00,7.504602050781273,,,78.73104858398438,2.57958984375,19.676364041864872,4878138.375,-2856928.0,-1263479.0,4321507.125,-2323790.0
2020-02-18T23:00:00+01:00,50.725,2.9,2020-02-18T04:00:00+01:00,6.621789550781273,,,83.82479858398438,4.03173828125,18.457614041864872,5278522.375,-5970400.0,2474121.0,4432611.125,-2184270.0
2020-02-18T23:00:00+01:00,50.725,2.925,2020-02-18T04:00:00+01:00,6.752648925781273,,,82.66854858398438,3.8623046875,18.520114041864872,5025594.375,-5188064.0,2160777.0,4172771.125,-2146638.0
2020-02-18T23:00:00+01:00,50.725,3.125,2020-02-18T04:00:00+01:00,6.810266113281273,,,84.32479858398438,2.67626953125,20.066989041864872,5114170.375,-6698976.0,2878601.0,4382435.125,-2317646.0
2020-02-18T23:00:00+01:00,50.675,2.8,2020-02-18T04:00:00+01:00,6.495812988281273,,,83.07479858398438,4.54296875,19.770114041864872,6105402.375,-5721568.0,1972361.0,5088227.125,-2440014.0
2020-02-18T23:00:00+01:00,50.675,3.0,2020-02-18T04:00:00+01:00,6.805383300781273,,,82.10604858398438,3.4482421875,21.457614041864872,5836090.375,-5559776.0,1844873.0,4907491.125,-2346574.0
2020-02-18T23:00:00+01:00,50.675,3.125,2020-02-18T04:00:00+01:00,7.252648925781273,,,83.04354858398438,3.548828125,18.395114041864872,5535034.375,-4078048.0,267913.0,4868067.125,-2613070.0
2020-02-18T23:00:00+01:00,50.675,3.25,2020-02-18T04:00:00+01:00,7.013391113281273,,,86.01229858398438,3.8779296875,15.816989041864872,5863226.375,-4829664.0,895625.0,5057507.125,-2533710.0
2020-02-18T23:00:00+01:00,50.775,3.025,2020-02-18T04:00:00+01:00,7.091516113281273,,,82.98104858398438,3.951171875,18.223239041864872,4617018.375,-4010976.0,565897.0,3944675.125,-2073422.0
2020-02-18T23:00:00+01:00,50.775,3.175,2020-02-18T04:00:00+01:00,7.075891113281273,,,83.91854858398438,2.91259765625,19.973239041864872,5148474.375,-6396384.0,2896521.0,4330211.125,-2197070.0
2020-02-18T23:00:00+01:00,50.775,3.225,2020-02-18T04:00:00+01:00,7.181359863281273,,,82.66854858398438,2.60595703125,19.723239041864872,5078842.375,-5899744.0,2510473.0,4287971.125,-2201166.0
2020-02-18T23:00:00+01:00,50.725,3.075,2020-02-18T04:00:00+01:00,6.842492675781273,,,82.85604858398438,2.88427734375,20.301364041864872,5416250.375,-5434848.0,2016905.0,4543203.125,-2213710.0
2020-02-18T23:00:00+01:00,50.7,3.025,2020-02-18T04:00:00+01:00,6.857141113281273,,,81.69979858398438,3.0537109375,20.629489041864872,5468474.375,-5507040.0,2104457.0,4584419.125,-2294094.0
2020-02-18T23:00:00+01:00,50.7,3.25,2020-02-18T04:00:00+01:00,7.148156738281273,,,85.16854858398438,2.91650390625,16.832614041864872,5472570.375,-5562848.0,1979017.0,4637411.125,-2346062.0
2020-02-18T23:00:00+01:00,50.7,3.275,2020-02-18T04:00:00+01:00,7.008508300781273,,,86.23104858398438,2.849609375,16.473239041864872,5650234.375,-5802464.0,2189449.0,4739299.125,-2315342.0
2020-02-18T23:00:00+01:00,50.7,3.15,2020-02-18T04:00:00+01:00,7.139367675781273,,,83.54354858398438,2.8720703125,19.848239041864872,5228346.375,-3729888.0,-93559.0,4563427.125,-2428238.0
2020-02-18T23:00:00+01:00,50.7,3.225,2020-02-18T04:00:00+01:00,7.287805175781273,,,84.07479858398438,2.89892578125,17.816989041864872,5299514.375,-4603872.0,1078921.0,4581859.125,-2438734.0
2020-02-18T23:00:00+01:00,50.75,3.1,2020-02-18T04:00:00+01:00,6.820031738281273,,,83.85604858398438,3.06982421875,20.066989041864872,5113658.375,-5120480.0,2087049.0,4286691.125,-2249294.0
2020-02-18T23:00:00+01:00,50.7,2.875,2020-02-18T04:00:00+01:00,6.648156738281273,,,82.01229858398438,3.6826171875,19.332614041864872,5598010.375,-5394912.0,1735305.0,4767459.125,-2387534.0
2020-02-18T23:00:00+01:00,50.7,2.9,2020-02-18T04:00:00+01:00,6.683312988281273,,,81.91854858398438,3.552734375,19.410739041864872,5511482.375,-5571552.0,2094729.0,4650979.125,-2417486.0
2020-02-18T23:00:00+01:00,50.65,2.8,2020-02-18T04:00:00+01:00,6.440148925781273,,,83.19979858398438,4.505859375,21.160739041864872,6502714.375,-5845984.0,1803401.0,5437411.125,-2561870.0
2020-02-18T23:00:00+01:00,50.65,2.9,2020-02-18T04:00:00+01:00,6.452844238281273,,,83.60604858398438,3.70947265625,21.645114041864872,6079802.375,-5720032.0,1811593.0,5121507.125,-2421326.0
2020-02-18T23:00:00+01:00,50.65,3.0,2020-02-18T04:00:00+01:00,6.841516113281273,,,82.63729858398438,3.6494140625,20.285739041864872,6138682.375,-4968928.0,921225.0,5174755.125,-2505038.0
2020-02-18T23:00:00+01:00,50.65,3.05,2020-02-18T04:00:00+01:00,7.205773925781273,,,82.26229858398438,3.93212890625,18.176364041864872,5911866.375,-4208608.0,-143735.0,5166307.125,-2541646.0
2020-02-18T23:00:00+01:00,50.65,3.225,2020-02-18T04:00:00+01:00,6.816125488281273,,,87.32479858398438,4.91943359375,15.160739041864872,6047546.375,-5853664.0,1901705.0,5072099.125,-2328142.0
